id,rest_name,rest_address,dish_category,dish_name,dish_disc,dish_ingredients,dish_style,dish_mood,dish_rec_nutritionist,dish_rec_community,dish_rec_a_oblomov,dish_rec_a_ivlev,stat_reviews,stat_rating,foodToMoodCoin,url,dish_price,dish_g
13,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Салаты,Греческий салат,"Погрузитесь в атмосферу средиземноморского здоровья с греческим салатом. Сочные овощи, ароматные травы, содержащие витамины С, Е, В, фосфор, железо, сделают все для поддержания вашего организма в отличной форме.;Б3,5 Ж13,5 У4,4 Кк157","Огурец, помидор, сладкий перец, красный лук, листья салата, маслины, сыр ""Фета"", бальзамическая заправка, овощи, томаты, перец, лук, сыр, зелень","Стандартное, Диетическое, Вегетарианство","Радость, Печаль, Гнев, Спокойствие, Волнение,","Волнение = 3, Гнев = 2, Радость = 5, Печаль = 7, Спокойствие  = 8",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,549,220
14,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Салаты,Оливье по-домашнему,"Данное блюдо поможет вам ощутить домашний уют и заботу о вашем здоровье. Сочные овощи, нежное мясо и ароматный майонез создадут неповторимый вкус и подарят вашему организму необходимые питательные вещества. Содержащиеся в оливье калий, кальций, магний, цинк способствуют успокоению нервной системы и поднятию настроения.;Б6,7 Ж9,1 У6,15 Кк213","Варёная колбаса, огурец, отварной картофель, морковь, зеленый горошек, яйцо, майонез, колбаса, мясо, овощи, картофель, горох",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Печаль = 6, Волнение = 2, Спокойствие = 1, Радость = 8, Гнев  = 6",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,399,210
15,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Салаты,Ростбиф-салат,"Ростбиф салат - выбор в пользу здоровья. Нежное мясо, свежие овощи и ароматные специи создадут взрыв вкуса, а витамин В12, цинк, железо, селен помогут вашему организму чувствовать себя на высоте.; Б10,3 Ж58,4 У8,06 Кк684","Ростбиф, луковое песто, картофель-черри, грибы, трюфельный майонез, говядина, мясо, лук, картофель, трюфель, овощи",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Печаль = 9, Спокойствие = 5, Гнев = 7, Радость  = 9, Волнение = 1",,,, ,  ; 4,,https://barmolodezh.ru/?utm_source=yandexmaps,699,170
16,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Салаты,С грушей и Горгонзолой,"Позвольте себе насладиться изысканным сочетанием вкусов данного салата. Сладкая груша и острая Горгонзола обладают хорошей совместной усваиваемостью, а также содержат витамины А, D, Е, К и бета-каротин, создающие идеальное сочетание для вашего здоровья и эмоционального благополучия. ;Б10 Ж10 У19 Кк371","Винно-чесночный соус, тигровые креветки, карамель, груша, микс-салат, огурец и сыр Горгонзола, чеснок, креветки, морепродукты, фрукты, сыр, овощи",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Гнев = 4, Волнение = 9, Радость = 7, Печаль = 8, Спокойствие  = 2",,,, ,  ; 5 ; 5,,https://barmolodezh.ru/?utm_source=yandexmaps,749,220
17,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Салаты,Салат их хрустящих баклажанов,"Оригинальный вкус салата из хрустящих баклажанов не оставит вас равнодушным. Насыщенный кальцием, фосфором, витамином А, РР, этот салат поможет вам поддерживать свою фигуру и здоровье в отличной форме.;Б3,5 Ж1,5 У9,5 Кк253","Баклажан, копчёный сыр «Сулугуни», помидоры, красный лук, кинза, соус «Гренадин», овощи, сыр, томаты, лук",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Спокойствие = 10, Волнение = 2, Печаль = 11, Радость = 3, Гнев  = 9",,,, ,  ; 5,,https://barmolodezh.ru/?utm_source=yandexmaps,649,265
18,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Салаты,"Стейк-салат ""Молодёжь""","Стейк-салат обязательно вызовет у вас новые эмоции. Благодаря витамину В12, цинку, железу и селену салат поможет вам сохранить высокий уровень энергии и концентрации на протяжении всего дня;Б5,9 Ж8,2 У4,6 Кк115,8","Мраморная говядина, помидоры, огурцы, красный лук, кинза, базилик, заправка «Кимчи», говядина, мясо, томаты, овощи, лук, зелень","Стандартное, диетическое","Радость, Печаль, Гнев, Спокойствие, Волнение,","Гнев = 1, Волнение = 7, Радость = 3, Печаль = 10, Спокойствие  = 11",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,849,300
19,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Японская кухня,Калифорния маки,"Свежий рис, нежные овощи и морепродукты - все, что нужно для здорового обеда или ужина. Они содержат витамины A, В, C, цинк, магний, железо, кальций, которые обязательно повысят ваше настроение и улучшат самочувствие.;Б4,7 Ж2,6 У5,2 Кк158","Рис, нори, снежный краб, икра масаго, авокадо, майонез, имбирь, васаби, краб, рыба, икра, морепродукты","Стандартное, диетическое","Радость, Печаль, Гнев, Спокойствие, Волнение,","Печаль = 1, Гнев = 2, Волнение = 4, Спокойствие = 3, Радость = 8",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,549,220/15
20,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Японская кухня,Филадельфия маки,"Маки Филадельфия погрузят вас в атмосферу одного из старейших городов Америки. Они содержат важнейшие витамины группы В, цинк, магний, фосфор, калий. Отлично подходят для поднятия настроения.;Б5,1 Ж4,2 У5,1 Кк154","Рис, нори, лосось, творожный сыр, огурец, имбирь, васаби, рыба, сыр, овощи","Стандартное, диетическое","Радость, Печаль, Гнев, Спокойствие, Волнение,","Волнение = 2, Гнев = 1, Радость = 6, Печаль = 4, Спокойствие  = 5",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,699,220/15
21,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Японская кухня,Дракон маки,"Дракон маки обладают высоким содержанием витаминов группы A, В, E, K, цинка, магния, бета-каротина. Они способствуют успокоению нервной системы и поднятию настроения.;Б6 Ж6,9 У5 Кк178","Рис, нори, тигровая креветка, угорь, творожный сыр, кунжут, соус ""Унаги"", имбирь, васаби, креветки, морепродукты, сыр","Стандартное, диетическое","Радость, Печаль, Гнев, Спокойствие, Волнение,","Печаль = 2, Гнев = 3, Волнение = 6, Спокойствие = 1, Радость = 4",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,799,220/15
22,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Японская кухня,Ролл угорь,"Сочные ингредиенты, богатые витаминами A, В, D, E, цинком, магнием, омегой-3, помогут поддерживать ваш иммунитет и общее здоровья, способствуя успокоению организма.;Б6 Ж6,9 У5 Кк178","Рис, нори, угорь, авокадо, имбирь, васаби, рыба","Стандартное, диетическое","Радость, Печаль, Гнев, Спокойствие, Волнение,","Радость = 7, Спокойствие= 8, Волнение = 1, Печаль = 3, Гнев  = 5",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,399,95/15
23,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Японская кухня,Ролл авокадо,"Органичное переплетение вкусов авокадо и риса знакомит вас с новыми ощущениями. А  содержащиеся витамины группы В, цинк, магний, принесут неоценимую пользу вашему организму.;Б5,4 Ж6,5 У6,2 Кк217,8","Рис, нори, авокадо, имбирь, васаби","Стандартное, диетическое","Радость, Печаль, Гнев, Спокойствие, Волнение,","Радость = 2, Спокойствие= 6, Волнение = 3, Печаль = 5, Гнев  = 4",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,179,95/15
24,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Японская кухня,Ролл огурец,"Сочный огурец в сочетании с нежным рисом содержат важные витамины группы В, цинк, магний, повышая ваше самочувствие и обеспечивая организм зарядом сил на весь день.;Б0,9 Ж0 У5,7 Кк139","Рис, нори, огурец свежий, имбирь, васаби, огурцы, овощи","Стандартное, диетическое","Радость, Печаль, Гнев, Спокойствие, Волнение,","Радость = 1, Спокойствие= 2, Волнение = 5, Печаль = 6, Гнев  = 7",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,129,95/15
25,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Японская кухня,Эби темпура,"Витамины A, В, D, E, K, цинк, магний содержащиеся в данном блюде, поднимут тонус вашего организма и сделают ваш день незабываемым.;Б4,6 Ж8,5 У18,8 Кк331","Рис, нори, тигровая креветка, огурец, соус ""Спайс"", имбирь, васаби, креветки, морепродукты, овощи",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Печаль = 8, Гнев = 6, Волнение = 7, Спокойствие = 4, Радость = 5",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,399,190/15
26,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Японская кухня,Филадельфия запечённая,"Содержащиеся в рисе и креветках витамины A, В, C, цинк, магний, железо, кальций укрепят ваш организм и поддержат позитивный настрой.;Б6 Ж4,2 У3,6 Кк182","Рис, нори, лосось с/с, креветки, снежный краб, творожный сыр, майонез, имбирь, васаби, лосось, морепродукты, краб, сыр","Стандартное, диетическое","Радость, Печаль, Гнев, Спокойствие, Волнение,","Волнение = 6, Печаль = 7 Радость = 3, Гнев = 8, Спокойствие  = 5",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,699,210/15
27,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Японская кухня,Ролл-сет,"Набор роллов наполнит вас силами на весь день. В этом ему помогут содержащиеся там витамины группы В, цинк, магний, омега-3, фосфор и калий.;Б8,9 Ж8,2 У14 Кк330","Филадельфия запеченная, лосось-ролл запеченный, ролл угорь, ролл авокадо, ролл огурец, ролл угорь калифорния, соус унаги, кунжут, имбирь, васаби, лосось, рыба, угорь, авокадо, огурец, овощи, рис",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Спокойствие = 7, Радость = 6, Гнев = 5, Печаль = 6, Волнение = 2",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,1899,805/45
28,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Поке,Поке с креветками,"Поке с креветками откроют вам новый уровень заботы о своем здоровье. Богатое витаминами группы A, В, D, E, K, цинком, магнием, бета-каротином, это блюдо поможет вам поднять настроение и поддерживать энергию в течение всего дня.;Б7 Ж4,6 У13,7 Кк323,6","Тигровые креветки в панировке, рис отварной, нори, салат чука, соевые бобы эдамамэ, ананас, помидоры-черри, огурцы свежие, кинза, соус соевый, соус «Шрирача», креветки, рыба, рис, бобы, фрукты, помидоры, томаты, овощи, огурцы, зелень, морепродукты",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Радость = 1, Спокойствие = 2, Гнев = 4, Печаль = 5, Волнение = 5",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,699,330
29,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Поке,Поке с угрём,"Блюдо с копченым угрем заслуживает особого внимания, оно богато витаминами A, В, D, E цинком, магнием, омегой-3. Его необычный позволит вам испытать новые ощущения.;Б4,8 Ж7,2 У6,25 Кк196,5","Копчёный угорь, рис отварной, творожный сыр, салат чука, маринованные грибы муэр, соус кимчи, соевые бобы эдамамэ, помидоры-черри, огурцы свежие, кинза, соевый соус, угорь, рыба, рис, сыр, грибы, бобы, помидоры, томаты, овощи, огурцы, зелень","Стандартное, диетическое","Радость, Печаль, Гнев, Спокойствие, Волнение,","Печаль = 2, Гнев = 1, Спокойствие = 3, Радость  = 4, Волнение = 6",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,649,290
30,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Поке,Поке с лососем,"Блюдо, богатое витаминами группы В, цинком, магнием; Омегой-3, фосфором, калием - всё, что нужно для поддержания вашего здоровья и хорошего настроения.;Б5,6 Ж3,4 У5,5 Кк175","Лосось, икра масаго, рис, авокадо, соевые бобы эдамамэ, помидоры-черри, огурцы свежие, кинза, соус соевый, соус «Ментайко», соус кимчи, соус рыбный, икра масаго, соевый соус, майонез, рыба, икра, бобы, помидоры, томаты, овощи, огурцы, зелень","Стандартное, диетическое","Радость, Печаль, Гнев, Спокойствие, Волнение,","Печаль = 3, Спокойствие = 5, Гнев = 6, Радость  = 4, Волнение = 1",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,849,290
31,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Поке,Поке с цыплёнком,"Нежное филе цыпленка в сочетании с  овощами, где содержит гистидин, серотонин, омега-3, селена, железо, В12. Данное блюдо - ваш заряд энергии на весь день.;Б6,6 Ж5,7 У11 Кк182,7","Филе цыплёнка, яйцо куриное, салат чука, соевые бобы эдамамэ, помидоры-черри, огурец, кинза, имбирь, кунжут, соус соевый, соус устрично-медовый, соус устричный, мёд, соус чили сладкий, кинза, курица, мясо, яйца, бобы, помидоры, томаты, овощи, зелень",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Волнение = 3, Спокойствие = 4, Гнев = 7, Печаль = 7, Радость = 5",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,549,360
32,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,Брускетта с лососем,"Нежный лосось, свежие помидоры и ароматные травы - идеальное сочетание для вашего здоровья и благополучия. Омега-3, витамины группы В12, фосфор, калий сделают из любого человека здорового и счастливого.;Б9 Ж22,9 У11 Кк282,5","Чиабатта, подсолнечное масло, лосось, салат Айсберг, салат руккола, салат Романо, соус Цитронет, масло оливковое, лимон, мёд, сахар, соль, укроп, соль, икра масаго, огурец, хлеб, рыба, зелень, масло, икра",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Волнение = 1, Гнев = 13, Радость = 12, Печаль = 4, Спокойствие  = 14",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,749,125
33,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,Брускетта с ростбифом,"Витамины В12, цинк, железо, селен, содержащиеся в данном блюде принесут неоценимую пользу вашему здоровью и эмоциональному состоянию.;Б9,5 Ж17,2 У14,7 Кк244,5","Чиабатта, подсолнечное масло, соус перечный, сливки, соевый соус, перец, салат Айсберг, салат руккола, салат Романо, ростбиф, огурец, соль, сахар, уксус рисовый, перец чили, чеснок, укроп, вода, томат, лук, хлеб, масло, овощи, зелень, говядина, мясо",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Гнев = 12, Волнение = 14, Радость = 13, Печаль = 3, Спокойствие  = 11",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,399,105
34,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,Брускетта с сальсой из вяленых томатов и сыром,"Неисчерпаемым источником витаминов и минералов является брускетта с ароматной сальсой из вяленых томатов и сыром. Витамины С, Е, В, фосфор и железо, содержащиеся в данном блюде наполнят вас силами и эмоциональным зарядом.;Б9,5 Ж39,3 У13,9 Кк437","Чиабатта, подсолнечное масло, соус, томаты сушеные в масле, лук, лимон, петрушка, сыр моцарелла, зеленое масло, масло подсолнечное, перец, хлеб, масло, томаты, помидоры, овощи, цитрусы, зелень, сыр",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Спокойствие = 3, Радость = 2, Гнев = 10, Печаль = 1, Волнение = 5",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,399,120
35,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,Мясная гастрономия,"Данное блюдо, как батарейка. Находящиеся в его составе витамины группы В, железо, калий, фосфор сделают вас счастливее и заряженнее.;Б21,6 Ж22,4 У8,2 Кк322,6","Коппа, свинина, специи, кориандр, тмин, хмели-сунели, тимьян, фенхель, перец, соль морская, сахар, Брезаола, говядина, ростбиф, бекон, чеснок, можжевеловая ягода, хлебцы Гриссини, мясо, хлеб, зелень",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Гнев = 5, Волнение = 4, Радость = 1, Печаль = 2, Спокойствие  = 4",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,899,138
36,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,Лосось с/с с лимоном,"Блюдо из лосося с лимоном окунет вас в море вкусов. Рыба, богатая омегой-3, витаминами группы В12, фосфором и калием вдохновит вас на новые свершения.;Б16,5 Ж5,9 У3 Кк168","Лосось, лимон, рыба, цитрусы","Стандартное, диетическое","Радость, Печаль, Гнев, Спокойствие, Волнение,","Волнение = 6, Гнев = 11, Радость = 10, Печаль = 12, Спокойствие  = 9",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,899,70/15
37,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,Масляная х/к с лимоном,"Масляная защищает вашу кожу и бережно заботится о вашем организме. Омега-3, витамины группы В12, фосфор, калий в ее составе улучшит кожный покров и вы станете чувствовать себя увереннее и привлекательнее.;Б18,5 Ж9,1 У0,7 Кк166","Масляная, лимон, цитрусы, рыба","Стандартное, диетическое","Радость, Печаль, Гнев, Спокойствие, Волнение,","Спокойствие= 6, Волнение = 11, Радость = 4, Печаль = 13, Гнев = 8",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,899,70/15
38,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,Угорь г/к с лимоном,"Угорь с лимоном, содержащие витамины A, D, E и омегу-3, создают идеальное сочетание нежности и пользы для вашего организма.;Б15,9 Ж22 У4,9 Кк284","Угорь, лимон, рыба, цитрусы, морепродукты","Стандартное, диетическое","Радость, Печаль, Гнев, Спокойствие, Волнение,","Спокойствие = 7, Волнение = 8, Печаль = 5, Радость = 14, Гнев  = 3",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,1199,70/15
39,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,Сырная тарелка,"Сырная тарелка, наполненная кальцием, фосфором, витамином А и РР, создает фундамент для ваших костей и здоровых зубов. Вы сможете дарить лучезарную улыбку окружающим вас людям.;Б13,7 Ж15,6 У19,1 Кк265,5","Сыр ""Дор-Блю"", сыр ""Пармезан"", сыр ""Моцарелла"", сыр ""Камамбер"", сыр копчёный ""Сулугуни"", грецкий орех, виноград, мёд, сыр, орехи, ягоды","Стандартное, диетическое, вегетарианство","Радость, Печаль, Гнев, Спокойствие, Волнение,","Волнение = 13, Гнев = 2, Радость = 5, Печаль = 14, Спокойствие  = 8",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,1199,150/120
40,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,Овощная нарезка,"Овощная нарезка, наполненая витаминами С, Е, В, фосфором и железом, вызывает взрыв положительных эмоций.;Б1,2 Ж10,6 У4 Кк114,2","Помидоры, огурцы, сладкий перец, редис, зелёный лук, укроп, петрушка, овощи, перец, лук, зелень","Стандартное, диетическое, вегетарианство, сыроедение","Радость, Печаль, Гнев, Спокойствие, Волнение,","Печаль = 6, Волнение = 10, Спокойствие = 1, Радость = 8, Гнев  = 6",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,399,190
41,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,Соленья,"Богатый клетчаткой и антиоксидантами состав поможет вам поддерживать пищеварение и общее благополучие организма.;Б1,2 Ж10,1 У3,5 Кк106","Огурец, помидоры-черри, капуста, острый перец, помидоры, томаты, овощи, перец","Стандартное, диетическое","Радость, Печаль, Гнев, Спокойствие, Волнение,","Печаль = 9, Спокойствие = 5, Гнев = 7, Радость  = 9, Волнение = 12",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,349,200
